Business situation,Confidence indicator,Construction,Hours,Orders,Interest rate spread,Share prices,CLI,Gross Domestic Product (GDP)
7.8,114.0500314,99.79577739,41.7,100.8620183,0.67,48.49961878,100.8392161,100.0438236
12.8,113.6196539,99.83868849,41.8,100.8785194,0.53,49.44086035,100.8663978,100.0411069
11.4,115.3411638,99.88703824,41.8,100.8412571,0.36,48.73144897,100.8643553,100.0263177
9,109.853851,99.93924702,42,100.7254757,0.31,49.97652819,100.8321332,100.0070974
7.6,114.6955976,99.9938303,41.9,100.6028703,-0.02,49.9244981,100.7857287,99.98855089
5.8,118.7841836,100.0500004,41.7,100.4957517,0.06,52.69964322,100.7250869,99.97472022
5.8,114.5880032,100.1063294,41.6,100.3867653,0.16,55.52619633,100.6337457,99.96997943
4.4,116.9550794,100.1629752,41.2,100.2825568,0.19,57.24488125,100.5091558,99.98007029
1.8,114.5880032,100.2199371,41.5,100.1655343,0.16,56.88942763,100.3528382,100.0110868
-2.2,113.6196539,100.275564,41.4,100.0597026,-0.06,56.42338722,100.1750921,100.0674015
-1.6,113.1892764,100.3265194,41.4,100.0177661,-0.08,58.07057791,100.0036201,100.1480916
-1.4,112.3285215,100.3700038,41.4,100.053608,-0.21,53.39362282,99.86008112,100.2485229
-2.6,108.5627186,100.4049717,41.3,100.1272478,-0.7,50.16512354,99.77339949,100.3601547
-2.6,104.7969156,100.4299892,41.4,100.2117943,-0.54,50.65312614,99.77463796,100.4689075
-3.6,110.4994172,100.4413875,41.4,100.3047651,0,55.87900965,99.86674341,100.560231
-6.4,108.1323411,100.437209,41.5,100.3947465,-0.03,57.03838456,100.0167804,100.6243799
1.2,111.7905496,100.4155429,41.3,100.4843308,0.09,58.96621919,100.2020275,100.6629347
3.4,116.3095131,100.3777452,41.4,100.5472202,0.24,58.29972861,100.3905883,100.6839927
4.8,113.7272483,100.3277865,41.3,100.5870815,0.42,59.78408024,100.5601716,100.6992327
4.6,112.5437102,100.2705257,41.3,100.622837,0.44,62.16686209,100.7086701,100.7223133
8.6,114.9107863,100.2117037,41.4,100.676422,0.8,62.94555275,100.8359422,100.7658169
11.6,115.4487582,100.1535167,41.3,100.753863,1.14,62.34271254,100.9326629,100.8377479
7.2,114.0500314,100.0971261,41.4,100.8643243,0.8,64.25429781,101.0019582,100.9366631
9.6,112.4361158,100.0407351,41.5,100.9841347,0.87,61.50059645,101.0524003,101.0551004
14,115.3411638,99.98322,41.4,101.101186,0.7,60.1979431,101.0967946,101.181117
14.4,111.037389,99.92365026,41.4,101.207763,0.91,59.32374063,101.1425937,101.2984982
16.2,115.3411638,99.86083127,41.4,101.2866059,0.61,62.80750534,101.190405,101.3933902
15.6,113.4044652,99.79321809,41.4,101.3487639,0.98,63.19875378,101.224034,101.4616406
13.4,120.5056935,99.71969496,41.5,101.3607316,1.21,62.8660189,101.2198656,101.5178025
11.6,119.752533,99.64128389,41.5,101.3201874,0.79,59.92386591,101.1629631,101.5800741
9.8,115.2335694,99.55993043,41.4,101.2945726,0.41,61.62468396,101.0780822,101.6562373
9.4,117.4930512,99.47843377,41.6,101.278884,-0.03,64.01819201,100.973132,101.7292926
6.4,119.1069667,99.39943943,41.2,101.2519101,0.17,63.33833308,100.8432338,101.7726029
2.8,114.4804089,99.326953,41.3,101.2306442,-0.43,64.33156961,100.696473,101.7653502
5,116.5247019,99.26448292,41.5,101.2038366,-0.49,64.67894484,100.533435,101.7101697
-0.2,115.4487582,99.21492832,41,101.1663171,-0.67,65.9681387,100.3411365,101.6191704
-0.6,114.9107863,99.17853689,41.1,101.0936951,-0.72,66.1083438,100.1168452,101.5035353
-2.6,113.8348426,99.1547412,41.1,100.9411741,-0.77,64.02615289,99.84560061,101.3659346
-3,115.7715413,99.14161245,41.1,100.7397523,-0.79,63.9463568,99.53639737,101.2052481
-12.2,105.8728593,99.13693246,40.4,100.4944435,-1.16,63.89025603,99.20293047,101.0229921
-17.2,101.8918677,99.13794992,40.6,100.2256222,-0.82,64.42541431,98.89826559,100.8314777
-17.8,97.48049852,99.14120541,40.5,99.97942951,-0.39,64.1760047,98.6642619,100.6445566
-14.8,98.44884784,99.14366951,40.5,99.75137924,-0.42,59.75940355,98.51255096,100.4693252
-13.8,95.1134224,99.14430109,40.4,99.53302668,0.34,60.09291749,98.43568309,100.2977737
-16.2,98.98681969,99.14219523,40.4,99.33020669,1.18,63.83125188,98.41111274,100.1173773
-12.2,99.63238591,99.13808646,40.3,99.12079112,1.31,62.47471836,98.3896092,99.92141778
-10.6,99.41719717,99.13268048,40.6,98.90504624,1.47,60.79871952,98.34899069,99.71991709
-3.4,98.44884784,99.12771426,40.3,98.70818132,1.32,59.86570468,98.2918632,99.5308403
-4.6,88.01219403,99.12663287,40.2,98.54439982,1.66,54.5954165,98.25469602,99.37193776
-19,88.98054335,99.1314496,40.1,98.43430299,2.08,55.06463998,98.30023241,99.2519385
-10,90.27167578,99.14312844,40.1,98.36416458,2.56,56.99182793,98.45169477,99.1734759
-6.6,95.54379987,99.16014945,40.2,98.35507599,3.27,57.73237684,98.69010389,99.13324101
-1.8,100.0627634,99.18006792,40.2,98.40413344,3.31,57.6208309,98.96630659,99.11917397
6.4,97.58809289,99.1988322,40.2,98.49727815,3.17,56.4110585,99.22823262,99.11629257
10,102.9678114,99.21340087,40.5,98.58792111,3.55,59.49041955,99.42538876,99.11062397
8.8,100.0627634,99.22580947,40.6,98.66428871,3.46,58.18820732,99.50771676,99.09233624
10.4,104.2589438,99.23782268,40.6,98.71841281,3.41,57.02320315,99.45739626,99.05468257
11.6,99.41719717,99.24888597,40.7,98.74657675,3.18,53.90806498,99.2821073,98.99384581
2.4,94.79063929,99.26029984,40.4,98.75765531,2.92,48.25621663,99.02908751,98.91015142
1.8,94.25266744,99.27452548,40.5,98.72176559,2.52,48.70764521,98.75861212,98.80682421
2.6,92.63875191,99.29273602,40.5,98.63615769,2.12,46.76303699,98.50735695,98.6903699
0,86.7210616,99.31431633,40.3,98.54858265,2.19,45.54277497,98.30934061,98.57234296
-1.6,90.59445889,99.34108925,40.4,98.47747061,2.71,47.87475011,98.17834641,98.46638433
6.2,93.28431812,99.37276438,40.5,98.43584064,2.79,47.52484613,98.09035352,98.38541125
5.6,88.65776024,99.40977481,40.3,98.44191329,2.81,47.34989414,98.02625863,98.33797828
-0.2,85.96790101,99.45382544,40.3,98.46994098,2.64,44.3759913,97.99584007,98.33093781
-7.2,83.49323052,99.50894932,40.4,98.49733768,2.56,44.24552657,98.02797609,98.36964986
-7,92.53115754,99.57659171,40.1,98.53336807,2.7,46.62976254,98.14698796,98.45524804
0,99.09441406,99.65731807,40.2,98.58674822,2.31,49.36493271,98.34759557,98.58580642
1,96.5121492,99.74760191,40.3,98.66282363,2.11,52.29275612,98.6055593,98.75404331
4.6,97.80328163,99.84232844,40.1,98.76170119,2.97,52.14393454,98.90791621,98.94167254
11,96.08177172,99.93728706,40.2,98.88564589,3.42,52.26896714,99.24487035,99.1267392
8.8,94.36026181,100.029058,40.5,99.02715435,3.26,53.80063996,99.60585898,99.28951324
14.4,96.40455483,100.1135716,40.6,99.15383407,3.28,55.20531337,99.97158772,99.41853665
21.2,100.815924,100.1877921,40.9,99.24010433,3.3,56.13242779,100.3121928,99.50857343
